City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,lianzhou,24,CN,1554478748,96,24.79,112.38,61.28,1.7
88,norman wells,5,CA,1554476400,84,65.28,-126.83,-0.41,5.82
89,vaini,0,IN,1554478750,62,15.34,74.49,77.39,2.59
90,bambanglipuro,56,ID,1554478750,95,-7.95,110.28,74.24,2.82
91,hay river,20,CA,1554476400,72,60.82,-115.79,10.4,2.48
92,kysyl-syr,0,RU,1554478753,71,63.9,122.77,19.16,4.38
93,ajaccio,0,FR,1554476400,55,41.93,8.74,62.6,11.41
94,saint-louis,75,CH,1554478679,57,47.59,7.56,52.0,3.36
95,palana,0,RU,1554478753,74,59.08,159.95,29.51,7.85
96,bolobo,20,CD,1554478753,70,-2.17,16.23,86.21,2.82
97,maun,0,BW,1554476400,27,-19.99,23.42,91.4,6.93
98,bluff,0,AU,1554478754,68,-23.58,149.07,69.38,10.2
99,bay roberts,90,CA,1554478701,68,47.58,-53.28,33.01,32.21
100,comodoro rivadavia,0,AR,1554476400,34,-45.87,-67.48,66.2,17.22
101,saldanha,88,PT,1554478755,63,41.42,-6.55,46.43,14.0
102,caravelas,0,BR,1554478756,98,-17.73,-39.27,82.61,11.99
103,berlevag,0,NO,1554475800,74,70.86,29.09,30.2,28.86
104,sorland,0,NO,1554475800,41,67.67,12.69,39.2,9.17
105,iqaluit,90,CA,1554478326,85,63.75,-68.52,12.2,18.34
106,mar del plata,0,AR,1554478579,42,-46.43,-67.52,66.68,20.27
107,salalah,0,OM,1554475800,74,17.01,54.1,82.4,5.82
108,xai-xai,56,MZ,1554478759,93,-25.04,33.64,79.1,17.81
109,nalut,76,LY,1554478760,39,31.86,10.98,73.79,20.83
110,vagur,100,FO,1554478760,96,61.47,-6.81,45.98,12.66
111,mauriti,75,BR,1554476400,66,-7.39,-38.77,86.0,2.24
112,kaitangata,8,NZ,1554478722,85,-46.28,169.85,35.01,1.99
113,iracoubo,88,GF,1554478761,72,5.48,-53.21,82.61,5.39
114,presidencia roque saenz pena,44,AR,1554478762,71,-26.79,-60.44,67.85,21.72
115,metro,56,ID,1554478762,100,-5.11,105.31,75.14,2.82
116,lavrentiya,0,RU,1554478762,78,65.58,-170.99,10.7,6.73
117,umm kaddadah,0,SD,1554478762,6,13.6,26.69,95.66,11.88
118,mao,20,DO,1554478532,65,19.55,-71.08,84.99,16.11
119,cabedelo,75,BR,1554476400,55,-6.97,-34.84,87.8,11.41
120,ravar,56,IR,1554478762,39,31.27,56.81,67.49,1.36
121,sao filipe,0,CV,1554478765,90,14.9,-24.5,72.53,17.47
122,shakawe,80,BW,1554478766,30,-18.36,21.84,88.73,4.61
123,balabac,0,PH,1554478672,100,7.99,117.06,82.43,7.74
124,pevek,68,RU,1554478767,81,69.7,170.27,6.11,5.39
125,atar,0,MR,1554476400,30,20.52,-13.05,80.6,11.41
126,okhotsk,44,RU,1554478768,76,59.36,143.24,31.94,7.4
127,laguna,5,MX,1554475440,32,27.52,-110.01,68.0,3.36
128,yellowknife,20,CA,1554478329,71,62.45,-114.38,3.2,6.93
129,hasaki,0,JP,1554478651,47,35.73,140.83,59.0,5.82
130,fortuna,90,ES,1554478760,81,38.18,-1.13,60.8,2.24
131,kalmunai,76,LK,1554478781,92,7.42,81.82,76.04,5.95
132,ayolas,92,PY,1554478781,95,-27.39,-56.84,65.15,17.02
133,jieshi,36,CN,1554478781,93,22.82,115.83,71.36,6.96
